microRNA ID	P-value (CE CL1-5 vs. CE CL1-0)	FDR step up (CE CL1-5 vs. CE CL1-0)	Ratio (CE CL1-5 vs. CE CL1-0)	Log2(Ratio) (CE CL1-5 vs. CE CL1-0)	Fold change (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-5) (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-0) (CE CL1-5 vs. CE CL1-0)
hsa-miR-379-3p	1.4714286285600474E-9	2.889124493520648E-7	4984.309343868578E0	12.283177894560058E0	4984.309343868578E0	49.843093510375475E0	0.010000000000005116E0
hsa-miR-4798-5p	1.5135387982021527E-9	2.889124493520648E-7	2172.687139360278E0	11.085264730240048E0	2172.687139360278E0	21.726871421790722E0	0.00999999999999801E0
hsa-miR-412-5p	2.1001876494108568E-9	2.889124493520648E-7	4910.702656407678E0	12.261713754494618E0	4910.702656407678E0	49.10702663458441E0	0.010000000000005116E0
hsa-miR-651-5p	2.338623868387804E-9	2.889124493520648E-7	2.673304092785742E-5	-15.191016518561455E0	-37406.892941907725E0	0.00999999999998181E0	374.06893008355553E0
hsa-miR-127-5p	2.6941063647092164E-9	2.889124493520648E-7	4790.282781910499E0	12.225895108894528E0	4790.282781910499E0	47.90282788768278E0	0.010000000000005116E0
hsa-miR-380-3p	3.0771568017574775E-9	2.889124493520648E-7	2099.080451888886E0	11.035541746821847E0	2099.080451888886E0	20.990804545999655E0	0.00999999999999801E0
hsa-miR-154-3p	3.3372725172680756E-9	2.889124493520648E-7	2277.3557061890388E0	11.153143932076777E0	2277.3557061890388E0	22.773557091617217E0	0.00999999999999801E0
hsa-miR-410-3p	6.645501287984196E-9	4.5027372851110264E-7	578.8113072505716E0	9.176949295395202E0	578.8113072505716E0	5.788113078723179E0	0.009999999999999787E0
hsa-miR-4450	6.687233591749049E-9	4.5027372851110264E-7	2.4502632109017785E-4	-11.994775645559876E0	-4081.194198038694E0	0.010000000000010232E0	40.811942037730205E0
hsa-miR-18b-3p	7.68173689343257E-9	4.6551325574201377E-7	0.0010809661823022612E0	-9.853462895158426E0	-925.0983207172883E0	0.01000000000000135E0	9.250983217844107E0
hsa-let-7c-3p	1.1386141006641473E-8	6.272728590931575E-7	2.2980924863161625E-5	-15.40920361428363E0	-43514.3496597475E0	0.00999999999998181E0	435.14349738155613E0
hsa-miR-1262	3.400823719520761E-8	1.7174159783579843E-6	1261.291181206526E0	10.30068565881237E0	1261.291181206526E0	12.612911827272852E0	0.009999999999999787E0
hsa-miR-4783-3p	4.910665754447142E-8	2.289125728611514E-6	9.904217064599802E-4	-9.979669445995857E0	-1009.6709244936231E0	0.010000000000003126E0	10.096709256733973E0
hsa-miR-376a-5p	7.087977300949363E-8	3.0680816031252247E-6	1214.9187301705517E0	10.246644095199839E0	1214.9187301705517E0	12.149187316277137E0	0.009999999999999787E0
hsa-miR-496	3.519475030046098E-7	1.4218679121386236E-5	2874.3052277891843E0	11.488997557047506E0	2874.3052277891843E0	28.74305231654076E0	0.00999999999999801E0
hsa-miR-487b-3p	6.067534439968327E-7	2.298078669138004E-5	21330.699733388294E0	14.380643672247679E0	21330.699733388294E0	213.30699769275154E0	0.009999999999990905E0
hsa-miR-1271-5p	6.744933095778463E-7	2.4043702682598523E-5	16471.637908858887E0	14.007696400642736E0	16471.637908858887E0	164.71637935851774E0	0.009999999999990905E0
hsa-miR-3689a-5p	7.310744533737512E-7	2.4186321924066826E-5	97750.62955908362E0	16.576818373620007E0	97750.62955908362E0	977.5062974644593E0	0.009999999999763531E0
