microRNA ID	P-value (EV CL1-5 vs. EV CL1-0)	FDR step up (EV CL1-5 vs. EV CL1-0)	Ratio (EV CL1-5 vs. EV CL1-0)	Log2(Ratio) (EV CL1-5 vs. EV CL1-0)	Fold change (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-5) (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-0) (EV CL1-5 vs. EV CL1-0)
hsa-miR-6084	3.785449377009253E-9	2.2939823224676075E-6	4.6908798837085145E-6	-17.70171001016513E0	-213179.621902708E0	0.01E0	2131.7962234442844E0
hsa-miR-370-3p	3.794658184970431E-7	4.266951536973224E-5	125453.18243319594E0	16.93678954320984E0	125453.18243319594E0	1254.531826817954E0	0.009999999999990905E0
hsa-miR-3689f	4.80030717886717E-7	4.266951536973224E-5	365513.5043776541E0	18.479565183866946E0	365513.5043776541E0	3655.135051762777E0	0.010000000000218279E0
hsa-miR-125b-2-3p	5.339415374800873E-7	4.266951536973224E-5	3.7770367951260985E-5	-14.692385636147902E0	-26475.781260336236E0	0.01E0	264.7578130586939E0
hsa-miR-665	6.085628034877355E-7	4.266951536973224E-5	7964.7906379665765E0	12.95942072431134E0	7964.7906379665765E0	79.6479065004155E0	0.009999999999990905E0
hsa-miR-3689a-5p	6.110567710866413E-7	4.266951536973224E-5	149344.55433497642E0	17.188285106948857E0	149344.55433497642E0	1493.4455463192003E0	0.009999999999763531E0
hsa-miR-1270	6.552094185594417E-7	4.266951536973224E-5	15928.581274025071E0	13.959330154254646E0	15928.581274025071E0	159.285813000831E0	0.010000000000019327E0
hsa-miR-1271-5p	7.261014063422958E-7	4.266951536973224E-5	14312.341297656263E0	13.80497207552908E0	14312.341297656263E0	143.12341320770972E0	0.009999999999990905E0
hsa-miR-3689e	7.313718777413712E-7	4.266951536973224E-5	122455.52097683461E0	16.90189829453178E0	122455.52097683461E0	1224.555212162093E0	0.009999999999763531E0
hsa-miR-487b-3p	7.439406571970771E-7	4.266951536973224E-5	14312.341297656263E0	13.80497207552908E0	14312.341297656263E0	143.12341320770972E0	0.009999999999990905E0
hsa-miR-942-5p	8.343221910910257E-7	4.266951536973224E-5	63476.506588811215E0	15.95393511160281E0	63476.506588811215E0	634.7650670729422E0	0.009999999999990905E0
hsa-miR-495-3p	8.494183113754981E-7	4.266951536973224E-5	4732.310684652232E0	12.208329076956316E0	4732.310684652232E0	47.32310691417293E0	0.010000000000005116E0
hsa-miR-3689b-5p	1.0007775184751448E-6	4.266951536973224E-5	146789.04038902052E0	17.16338473167344E0	146789.04038902052E0	1467.8904068045517E0	0.009999999999763531E0
hsa-miR-214-3p	1.009692310612359E-6	4.266951536973224E-5	1.8885540634749757E-5	-15.69235839016054E0	-52950.56251447633E0	0.01E0	529.5056261173879E0
hsa-miR-125a-3p	1.1856176353065286E-6	4.266951536973224E-5	79051.86011733524E0	16.270511789640775E0	79051.86011733524E0	790.5186026782004E0	0.009999999999990905E0
hsa-miR-18a-3p	1.2483280008761566E-6	4.266951536973224E-5	39702.54393272751E0	15.27694383028158E0	39702.54393272751E0	397.0254400368866E0	0.009999999999990905E0
hsa-miR-29b-1-5p	1.3180814454399312E-6	4.266951536973224E-5	72586.900211789E0	16.147421587484782E0	72586.900211789E0	725.8690035057152E0	0.010000000000218279E0
hsa-miR-941	1.3962836029185665E-6	4.266951536973224E-5	52162.826756473274E0	15.670734432343982E0	52162.826756473274E0	521.6282685210931E0	0.009999999999990905E0
hsa-let-7b-3p	1.4436258205932571E-6	4.266951536973224E-5	6348.550661347894E0	12.632211554917863E0	6348.550661347894E0	63.48550670729422E0	0.009999999999990905E0
hsa-miR-105-5p	1.4677184553872462E-6	4.266951536973224E-5	39585.13468643807E0	15.272671139640755E0	39585.13468643807E0	395.85134757169567E0	0.009999999999990905E0
hsa-miR-708-5p	1.478646572218444E-6	4.266951536973224E-5	225515.162216583E0	17.78286490889E0	225515.162216583E0	2255.151626806731E0	0.009999999999763531E0
hsa-let-7f-1-3p	1.6344619098942501E-6	4.359200750054984E-5	9463.621368211763E0	13.208176638440108E0	9463.621368211763E0	94.63621382834587E0	0.009999999999990905E0
hsa-miR-361-3p	1.6544821328591523E-6	4.359200750054984E-5	20659.891956853608E0	14.334545089041915E0	20659.891956853608E0	206.59891991500393E0	0.009999999999990905E0
hsa-miR-495-5p	1.8077092093142932E-6	4.385345953493495E-5	4732.310684658957E0	12.208329076958366E0	4732.310684658957E0	47.32310691417293E0	0.009999999999990905E0
hsa-miR-1180-3p	1.8091361194280096E-6	4.385345953493495E-5	68442.63576312654E0	16.062607699417256E0	68442.63576312654E0	684.4263589174968E0	0.009999999999990905E0
hsa-miR-589-3p	2.0515144083605852E-6	4.462355960291156E-5	22276.13193317193E0	14.443211121863776E0	22276.13193317193E0	222.7613197081252E0	0.009999999999990905E0
hsa-miR-16-2-3p	2.0991724752763224E-6	4.462355960291156E-5	12696.101321211325E0	13.632097926306026E0	12696.101321211325E0	126.96101341458845E0	0.009999999999990905E0
hsa-miR-431-5p	2.1063836537791845E-6	4.462355960291156E-5	19161.06122681781E0	14.225889845856784E0	19161.06122681781E0	191.61061258707358E0	0.009999999999990905E0
hsa-miR-30c-1-3p	2.1354508720865268E-6	4.462355960291156E-5	20542.482710551176E0	14.32632293207938E0	20542.482710551176E0	205.424827449813E0	0.009999999999990905E0
hsa-miR-32-3p	2.3150298327417583E-6	4.6135580275943166E-5	12696.101321211301E0	13.632097926306024E0	12696.101321211301E0	126.96101341458844E0	0.009999999999990905E0
hsa-miR-193b-5p	2.3707814053937645E-6	4.6135580275943166E-5	36352.654734112635E0	15.149773103581241E0	36352.654734112635E0	363.5265479854531E0	0.009999999999990905E0
hsa-miR-138-1-3p	2.4362022587956786E-6	4.6135580275943166E-5	12696.10132117524E0	13.632097926301926E0	12696.10132117524E0	126.96101341458844E0	0.010000000000019327E0
hsa-miR-1268b	2.6546614972556953E-6	4.8092457752575766E-5	6348.550661347894E0	12.632211554917863E0	6348.550661347894E0	63.48550670729422E0	0.009999999999990905E0
hsa-miR-299-3p	2.7498830606493144E-6	4.8092457752575766E-5	15811.172027762746E0	13.948656693227393E0	15811.172027762746E0	158.11172053564007E0	0.009999999999990905E0
hsa-miR-26a-1-3p	2.8546318333960285E-6	4.8092457752575766E-5	25273.793393153923E0	14.625354597008469E0	25273.793393153923E0	252.73793436398591E0	0.009999999999990905E0
hsa-miR-19b-1-5p	2.8569776882718276E-6	4.8092457752575766E-5	11079.861344700019E0	13.43565220691441E0	11079.861344700019E0	110.79861362146715E0	0.010000000000019327E0
hsa-let-7a-3p	3.142102715113279E-6	5.146254717185532E-5	17544.821250456658E0	14.098757628948498E0	17544.821250456658E0	175.44821279395228E0	0.009999999999990905E0
hsa-miR-7-1-3p	3.4715549112601204E-6	5.336101720938915E-5	99006.29659022343E0	16.595232660000487E0	99006.29659022343E0	990.0629678020588E0	0.009999999999763531E0
hsa-miR-2355-3p	3.5602829021300764E-6	5.336101720938915E-5	6348.550661347894E0	12.632211554917863E0	6348.550661347894E0	63.48550670729422E0	0.009999999999990905E0
hsa-miR-450b-5p	3.7669288472277596E-6	5.336101720938915E-5	18926.24273420986E0	14.208100413056002E0	18926.24273420986E0	189.26242765669173E0	0.009999999999990905E0
hsa-miR-10b-3p	3.858194511888641E-6	5.336101720938915E-5	3.12043520403927E-5	-14.967893220053385E0	-32046.811890390887E0	0.009999999999999787E0	320.46811946537923E0
hsa-let-7a-2-3p	3.922947655258977E-6	5.336101720938915E-5	31503.93480553192E0	14.943244410381203E0	31503.93480553192E0	315.0393486060892E0	0.009999999999990905E0
hsa-miR-100-5p	3.925025162528803E-6	5.336101720938915E-5	12.213412710051548E0	3.610394473913203E0	12.213412710051548E0	36585.93350214439E0	2995.5536880017826E0
hsa-miR-27b-5p	3.9310102460562365E-6	5.336101720938915E-5	18926.242734156032E0	14.208100413051898E0	18926.242734156032E0	189.26242765669173E0	0.010000000000019327E0
hsa-miR-424-3p	3.9624517729744425E-6	5.336101720938915E-5	172973.6182649024E0	17.400192490907237E0	172973.6182649024E0	1729.7361861705135E0	0.009999999999990905E0
hsa-miR-335-3p	4.466338905879112E-6	5.883916036875525E-5	14194.932051306187E0	13.793088322695711E0	14194.932051306187E0	141.9493207425188E0	0.010000000000019327E0
hsa-miR-493-3p	4.722082009278255E-6	5.9338595046026294E-5	11197.270591046126E0	13.450859488203387E0	11197.270591046126E0	111.97270608665809E0	0.009999999999990905E0
hsa-miR-151a-5p	4.767111032231489E-6	5.9338595046026294E-5	22041.31344056998E0	14.42792257613263E0	22041.31344056998E0	220.41313477774338E0	0.009999999999990905E0
hsa-miR-627-5p	4.8469453494804974E-6	5.9338595046026294E-5	9463.621368184866E0	13.208176638436008E0	9463.621368184866E0	94.63621382834587E0	0.010000000000019327E0
